Name,Symbol,employees_count,price (USD),Country name
Walmart,WMT,2100000,59.83,United States
Amazon,AMZN,1500000,,United States
Foxconn (Hon Hai Precision Industry),2317.TW,,5.34534,Taiwan
Accenture,ACN,733000,308.52,Ireland
Volkswagen,VOW3.DE,650951,,Germany
Tata Consultancy Services,yjj2uqpaq3,614795,46.7392,
DHL Group (Deutsche Post),DHL.DE,589184,,Germany
BYD,002594.SZ,570100,30.2523,China
Compass Group,CPG.L,KkVfn7ZVWG,,United Kingdom
United Parcel Service,UPS,500000,147.94,United States
Home Depot,HD,470000,348.67,United States
Gazprom,GAZP.ME,468000,1.72,Russia
Agricultural Bank of China,601288.SS,452258,0.602802,China
,0941.HK,450698,9.41854,China
Jingdong Mall,JD,450679,33.62,China
Target,TGT,440000,157.51,
,CNXC,440000,64.55,hQ9t6GyeF9
Kroger,KR,430000,54.38,United States
,1398.HK,427587,,China
Jardine Matheson,J36.SI,425000,39.38,Hong Kong
4vnF40dBLT,AD.AS,414000,31.6121,Netherlands
UnitedHealth,,400000,517.55,gFtdE8ErPt
Yum China,YUMC,400000,38.83,China
PetroChina,601857.SS,398440,1.36219,China
Berkshire Hathaway,BRK-B,383000,412.76,United States
China State Construction Engineering,601668.SS,382492,0.784335,China
Starbucks,SBUX,-443766.4907,75.7,United States
Fomento Económico Mexicano,FMX,379190,121.77,Mexico
Toyota,TM,377369,219.55,
Marriott International,MAR,377000,236,KkVfn7ZVWG
China Construction Bank,Wa6BL4tP89,376682,0.993584,
Sinopec,600028.SS,150202.2388,0.873024,China
Teleperformance,TEP.PA,360980,119.089,France
Securitas AB,SECU-B.ST,358000,505565.5962,Sweden
Magnit,MGNT.ME,357000,91.69,Russia
Cognizant Technology Solutions,CTSH,,68.86,
Ping An Insurance,601318.SS,344223,5.96566,China
Capgemini,CAP.PA,340400,225.242,France
TriNet,TNET,339341,102.79,United States
NTT (Nippon Telegraph &amp; Telephone),NPPXF,338651,1.03,5fahUn7txc
Tesco,TSCDF,330000,3.94186,United Kingdom
TJX Companies,TJX,329000,98.48,United States
7WNdOIU3JB,INFY,328764,17.05,India
FedEx,FDX,,259.32,
X5 Retail Group,,325000,30.88,Netherlands
Hitachi,6501.T,,,Japan
,SIE.DE,320000,193.521,Germany
Costco,COST,316000,787.04,United States
P28hscHaUd,NSP,315340,104.6,United States
Sodexo,SW.PA,315147,-112150.9672,France
Pepsico,PEP,-859238.8339,179.46,
JPMorgan Chase,JPM,308669,202.11,United States
Bank of China,601988.SS,306182,0.619431,China
Carrefour,CA.PA,305309,17.6324,France
CK Hutchison Holdings,0001.HK,300000,5.35639,Hong Kong
Lowe's Companies,LOW,300000,236.08,TXLQ2kyUTY
China Railway Group,0390.HK,297620,0.567675,China
Sumitomo Denki Kōgyō,5802.T,-375436.2923,15.1641,Japan
,IBM,288300,168.26,United States
Sberbank,VqerJDELDo,211889.0264,3.52,Russia
China Telecom,0728.HK,280683,0.565112,China
Vinci,DG.PA,,126.318,France
Nestlé,NESN.SW,275000,105.947,Switzerland
Oz1Q1tLF6m,STLA,272367,23.16,Netherlands
China Railway Construction,601186.SS,269577,1.22916,China
ISS A/S,ISS.CO,265883,19.0798,Denmark
Aramark,ARMK,262550,,United States
JBS,JBSS3.SA,260000,5.30102,Brazil
Mahindra &amp; Mahindra,M&M.NS,260000,28.4209,India
Wipro,WIT,250000,5.44,India
eXlKoEySJZ,COALINDIA.NS,248550,5.61168,MtRStVhiyM
China Unicom,0762.HK,244658,0.799615,Hong Kong
Jardine Cycle &amp; Carriage,C07.SI,240000,20.0348,Singapore
Citigroup,C,,64.24,United States
Luxshare Precision,002475.SZ,236932,,China
Reliance Industries,RELIANCE.NS,236334,34.1602,India
Jabil,JBL,236000,115.47,United States
State Bank of India,SBIN.NS,-975052.7731,9.72966,India
Walmex,WMMVF,232905,-757537.5623,Mexico
Panasonic,6752.T,232527,8.53567,Japan
Japan Post Holdings,6178.T,227369,9.55543,Japan
Wells Fargo,WFC,227363,bmifXR7bqV,
,BABA,224955,80.99,
George Weston,,221285,139.083,Canada
Microsoft,MSFT,,423.08,United States
Loblaw Companies,,221000,113.817,
HCL Technologies,HCLTECH.NS,219325,16.155,India
HSBC,HSBC,219199,44.77,United Kingdom
CVS Health,CVS,219000,56.26,United States
DFI Retail Group,D01.SI,218000,1.85,Hong Kong
SAIC Motor,600104.SS,215999,1.99548,China
Dior,CDI.PA,213000,803.348,France
Bank of America,BAC,213000,38.91,United States
QYKiAmPej1,SAN,212219,-42591.43349,Spain
Yamato Holdings,gejEQeUTr5,KkVfn7ZVWG,11.0399,Japan
HCA Healthcare,HCA,207000,326.96,United States
Veolia,VIE.PA,206500,33.471,France
,,206000,17.89,United States
Deutsche Telekom,PhHOuYNVgk,204236,23.9265,Germany
Continental,CON.DE,937109.3678,68.5509,Germany
Brookfield Corporation,,202500,44.85,Canada
pHcLH5AN5t,EN.PA,201500,39.363,France
Woolworths Group,WOW.AX,200364,21.2413,Australia
 Industrial Internet,601138.SS,199073,3.54475,China
Honda,HMC,197039,33.84,Japan
NTT Data,9613.T,195106,14.7414,Japan
,FRE.DE,193527,31.0903,Germany
LVMH,MC.PA,192287,,France
Darden Restaurants,DRI,187384,151.78,cyq5MwaRXg
,CMCSA,186000,39.25,United States
BNP Paribas,BNP.PA,183000,,France
,GOOG,182381,173.88,United States
Raytheon Technologies,,182000,105.35,United States
Magna International,MGA,181000,48.11,Canada
Canon,7751.T,180775,28.0177,Japan
Postal Savings Bank of China,601658.SS,78289.82937,0.697033,China
The People's Insurance Company (PICC),601319.SS,177852,0.749692,China
America Movil,AMX,176158,19.94,
Walt Disney,DIS,173250,102.77,United States
HDFC Bank,HDB,173222,55.66,
Ford,F,173000,12.31,United States
Flex,FLEX,172108,29.33,Singapore
General Electric,GE,172000,163.47,
Lear Corporation,LEA,168700,131.06,United States
Schneider Electric,pUZUCN7sRP,168044,255.571,
Mercedes-Benz,MBG.DE,167397,586789.9863,Germany
Anheuser-Busch Inbev,BUD,167000,66.03,Belgium
General Motors,GM,KkVfn7ZVWG,45.49,United States
Midea,000333.SZ,166243,9.6088,China
Denso,6902.T,164572,9458.37054,Japan
IiIjrI1qRr,ORCL,,121.63,United States
S.F. Express,,162823,5.04136,China
International Distributions Services (Royal Mail),IDS.L,162511,4.06394,United Kingdom
